Global Evidence:    0.979164473919547618E+02  +/-    0.507536552403140898E-01

Dim No.       Mean        Sigma
   1    0.519818221778604816E+00    0.233454767753498965E+00
   2    0.171646739050955155E+01    0.441802909450968950E+00
   3   -0.237135758574814348E+01    0.168292516289678340E+01
   4    0.520996118654620766E+01    0.185022286333161823E+01
   5    0.100248279841210515E+02    0.431648255398749203E+01
   6    0.861261889783739935E+04    0.498811856930968497E+04
   7   -0.649999999999997247E+00    0.618891705790018653E-07
   8   -0.299999999999998757E+01    0.266560074985002256E-06
   9    0.520499999999997982E+02    0.504637014592092651E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.400097202223911930E+00
   2    0.190808522773221889E+01
   3   -0.571713323019448438E+00
   4    0.341208576095513250E+01
   5    0.679518217061591834E+01
   6    0.842817062266735957E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.470576589579805526E+00
   2    0.152750606799221611E+01
   3   -0.124058872253018304E+01
   4    0.707590394358207675E+01
   5    0.114385321272814551E+02
   6    0.822280945687392523E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
