Global Evidence:    0.974516708718508937E+02  +/-    0.441059583267490660E-01

Dim No.       Mean        Sigma
   1    0.492611986058932361E+00    0.219085119588496080E+00
   2    0.194339251068914765E+01    0.984533526621292676E+00
   3    0.126801552476269253E+01    0.161974448987471242E+01
   4   -0.449036166969051909E+01    0.298640997822711407E+01
   5    0.147227648388166044E+01    0.218780371587204492E+01
   6    0.676943607273774184E+01    0.173722646947250059E+01
   7    0.321337561203067734E+01    0.482854747540724283E+01
   8    0.112476541829657672E+05    0.700103200298443335E+04
   9   -0.649999999999996692E+00    0.698926413032923599E-07
  10   -0.299999999999999778E+01    0.139785282606584720E-06
  11    0.520500000000000611E+02    0.150789149292391754E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.214620364047026141E+00
   2    0.321522438306677882E+01
   3    0.173725394839188318E+01
   4   -0.937177047092028381E+01
   5    0.686732914619995860E+00
   6    0.674258663353734278E+01
   7    0.115259250348544295E+01
   8    0.204764424034493095E+05
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.770092047707712557E+00
   2    0.351777156745174002E+01
   3    0.129494888162318311E+01
   4   -0.643547686834654797E+00
   5    0.183481311640934924E-01
   6    0.465874675512316117E+01
   7    0.820956064448892686E+00
   8    0.478394138179797392E+04
   9   -0.650000000000000022E+00
  10   -0.300000000000000000E+01
  11    0.520499999999999972E+02
