Global Evidence:    0.979530421844277583E+02  +/-    0.421405691429951254E-01

Dim No.       Mean        Sigma
   1    0.499080157455015716E+00    0.202276580811609069E+00
   2    0.173777752778058625E+01    0.370009482826576031E+00
   3   -0.258844271334406528E+01    0.174852736190303615E+01
   4    0.621819649912646266E+01    0.187302195364485202E+01
   5    0.142636619811296157E+02    0.705949797335448981E+01
   6    0.107277124282247114E+05    0.610240404972569831E+04
   7   -0.650000000000002576E+00                         NaN
   8   -0.299999999999998801E+01                         NaN
   9    0.520499999999997769E+02    0.387384338599966089E-05

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.506890360860867695E+00
   2    0.165279827415698555E+01
   3   -0.588781980680217654E+01
   4    0.675579791313791933E+01
   5    0.149722527817688533E+02
   6    0.868987657009691611E+04
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02

MAP Parameters
Dim No.        Parameter
   1    0.441739667163371319E+00
   2    0.192460429191803994E+01
   3   -0.357879415431072090E+01
   4    0.604155738766613570E+01
   5    0.189057217675295455E+02
   6    0.126755699424823651E+05
   7   -0.650000000000000022E+00
   8   -0.300000000000000000E+01
   9    0.520499999999999972E+02
